id_client;sexe;tranche_age;enfant_conduite_accompagne;nombre_enfants;tranche_revenus;tranche_valeur_RP;formation;usage_vehicule;type_vehicule;vehicule_est_rouge;tranche nbr_pts-perdus;tranche_age_vehicule;type_conduite;date_demande_mois_année;etat_dossier;formule;tarif_devis
33;F;54-72;FAUX;0;100000-125000;0-50000;Bachelors;Private;SUV;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
34;M;0-18;FAUX;0;25000-50000;150000-200000;<High School;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;févr-22;complet;dev_premium;B
35;M;36-54;VRAI;2;50000-75000;200000-250000;Masters;Private;Sports Car;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
36;F;54-72;FAUX;0;0-25000;100000-150000;Bachelors;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
37;F;54-72;FAUX;0;25000-50000;150000-200000;Bachelors;Commercial;Sports Car;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
38;F;0-18;FAUX;3;75000-100000;300000-350000;Masters;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
39;F;54-72;FAUX;0;150000-175000;0-50000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
40;M;18-36;FAUX;0;50000-75000;150000-200000;High School;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;mars-22;complet;dev_premium;B
41;F;18-36;VRAI;2;N/C;0-50000;Bachelors;Private;Sports Car;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
42;F;72-90;FAUX;4;0-25000;0-50000;<High School;Private;SUV;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
43;M;54-72;FAUX;1;0-25000;0-50000;Bachelors;Commercial;Pickup;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
44;F;54-72;VRAI;2;50000-75000;150000-200000;High School;Private;Pickup;VRAI;0-3 pts;N/C;Highly Urban/ Urban;avr-22;complet;dev_premium;B
45;M;36-54;FAUX;0;75000-100000;0-50000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
46;F;54-72;FAUX;0;75000-100000;250000-300000;Masters;Private;SUV;FAUX;3-6 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
47;M;72-90;FAUX;1;0-25000;50000-100000;<High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
48;F;36-54;FAUX;0;125000-150000;350000-400000;Masters;Commercial;Panel Truck;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
49;M;72-90;FAUX;0;75000-100000;0-50000;Bachelors;Commercial;Van;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
50;F;36-54;VRAI;2;50000-75000;150000-200000;<High School;Private;Van;VRAI;0-3 pts;0-5 ans;Highly Rural/ Rural;avr-22;complet;dev_integral;A
51;F;18-36;FAUX;0;25000-50000;100000-150000;<High School;Commercial;Pickup;VRAI;6-9 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
52;F;36-54;FAUX;3;25000-50000;150000-200000;<High School;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
53;M;18-36;FAUX;0;100000-125000;250000-300000;Bachelors;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
54;F;36-54;FAUX;0;50000-75000;0-50000;Masters;Private;Sports Car;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
55;F;0-18;FAUX;0;75000-100000;200000-250000;Bachelors;Commercial;Minivan;FAUX;3-6 pts;5-10 ans;Highly Rural/ Rural;avr-22;complet;dev_express;A
56;M;36-54;FAUX;0;75000-100000;300000-350000;PhD;Private;Van;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;A
57;F;54-72;FAUX;1;25000-50000;150000-200000;Masters;Commercial;Van;VRAI;3-6 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
58;M;18-36;FAUX;0;50000-75000;250000-300000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
59;F;72-90;VRAI;3;25000-50000;N/C;High School;Private;Van;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
60;F;18-36;VRAI;2;25000-50000;0-50000;High School;Private;Sports Car;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
61;F;72-90;FAUX;0;75000-100000;250000-300000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
62;F;54-72;FAUX;0;25000-50000;150000-200000;Bachelors;Private;Pickup;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
63;F;54-72;FAUX;2;50000-75000;200000-250000;Bachelors;Commercial;Van;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
64;F;72-90;FAUX;1;25000-50000;0-50000;<High School;Private;Sports Car;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
65;F;0-18;FAUX;0;0-25000;100000-150000;Bachelors;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
66;M;36-54;FAUX;0;50000-75000;200000-250000;High School;Private;SUV;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
67;M;54-72;FAUX;0;75000-100000;200000-250000;Bachelors;Private;Pickup;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
68;M;36-54;FAUX;0;0-25000;0-50000;<High School;Private;Minivan;FAUX;3-6 pts;5-10 ans;Highly Rural/ Rural;mai-22;complet;dev_express;A
69;M;72-90;FAUX;1;0-25000;50000-100000;Bachelors;Private;SUV;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
70;F;18-36;FAUX;0;75000-100000;0-50000;Bachelors;Commercial;Pickup;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
71;F;0-18;FAUX;0;75000-100000;0-50000;Bachelors;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
72;M;18-36;FAUX;0;175000-200000;450000-500000;PhD;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
73;M;0-18;FAUX;0;75000-100000;250000-300000;Bachelors;Private;Minivan;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
74;F;72-90;FAUX;2;75000-100000;N/C;High School;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Rural/ Rural;févr-22;complet;dev_premium;B
75;M;72-90;FAUX;0;25000-50000;150000-200000;Bachelors;Private;Pickup;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
76;F;18-36;FAUX;0;100000-125000;0-50000;Masters;Private;SUV;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
77;F;72-90;FAUX;0;50000-75000;250000-300000;High School;Commercial;Minivan;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
78;M;36-54;FAUX;0;25000-50000;0-50000;Bachelors;Commercial;Panel Truck;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;A
79;F;36-54;FAUX;0;25000-50000;150000-200000;<High School;Private;Minivan;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
80;M;54-72;FAUX;0;100000-125000;0-50000;High School;Private;Minivan;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;A
81;M;72-90;FAUX;0;0-25000;0-50000;High School;Private;Sports Car;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;janv-22;complet;dev_express;A
82;M;54-72;FAUX;0;100000-125000;0-50000;High School;Commercial;Van;VRAI;0-3 pts;5-10 ans;Highly Rural/ Rural;févr-22;complet;dev_express;A
83;F;54-72;FAUX;1;25000-50000;N/C;Bachelors;Commercial;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
84;M;54-72;FAUX;0;0-25000;0-50000;<High School;Private;Sports Car;FAUX;0-3 pts;N/C;Highly Rural/ Rural;mai-22;complet;dev_express;A
85;M;54-72;FAUX;0;50000-75000;N/C;High School;Commercial;Pickup;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
86;M;36-54;FAUX;0;25000-50000;150000-200000;High School;Private;Minivan;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
87;M;36-54;FAUX;0;N/C;0-50000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;B
88;F;18-36;VRAI;2;0-25000;0-50000;High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;mai-22;complet;dev_express;A
89;M;36-54;FAUX;0;25000-50000;200000-250000;Masters;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_premium;B
90;M;54-72;FAUX;2;25000-50000;150000-200000;Masters;Private;Sports Car;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;janv-22;complet;dev_integral;A
91;M;72-90;FAUX;0;50000-75000;150000-200000;High School;Commercial;Minivan;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
92;F;0-18;FAUX;1;0-25000;100000-150000;<High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_premium;A
93;F;0-18;FAUX;0;75000-100000;250000-300000;High School;Private;Sports Car;FAUX;6-9 pts;0-5 ans;Highly Urban/ Urban;févr-22;complet;dev_premium;B
94;M;54-72;FAUX;0;50000-75000;0-50000;High School;Private;Van;VRAI;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
95;F;54-72;FAUX;0;50000-75000;150000-200000;Bachelors;Private;Pickup;FAUX;3-6 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
96;F;36-54;FAUX;0;25000-50000;N/C;High School;Commercial;Pickup;VRAI;0-3 pts;5-10 ans;Highly Rural/ Rural;janv-22;complet;dev_integral;A
97;M;54-72;FAUX;0;25000-50000;0-50000;High School;Private;Minivan;FAUX;6-9 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
98;F;36-54;VRAI;3;50000-75000;100000-150000;<High School;Private;Minivan;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
99;M;36-54;FAUX;2;50000-75000;200000-250000;PhD;Private;Van;VRAI;0-3 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
100;M;18-36;FAUX;0;50000-75000;0-50000;High School;Commercial;SUV;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
101;M;54-72;FAUX;2;0-25000;50000-100000;Masters;Commercial;Pickup;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
102;F;18-36;FAUX;1;50000-75000;200000-250000;High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
103;M;36-54;FAUX;0;100000-125000;0-50000;Bachelors;Private;Minivan;FAUX;6-9 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
104;M;0-18;FAUX;0;200000-225000;0-50000;Masters;Commercial;Panel Truck;VRAI;3-6 pts;15-20 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
105;M;54-72;FAUX;0;50000-75000;0-50000;Bachelors;Private;Minivan;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_premium;B
106;M;18-36;FAUX;2;N/C;450000-500000;PhD;Commercial;Panel Truck;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
107;F;54-72;VRAI;1;0-25000;100000-150000;<High School;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
108;M;36-54;FAUX;3;50000-75000;250000-300000;Bachelors;Commercial;Minivan;VRAI;0-3 pts;10-15 ans;Highly Rural/ Rural;mars-22;complet;dev_integral;A
109;F;54-72;FAUX;2;125000-150000;350000-400000;Bachelors;Private;Minivan;VRAI;3-6 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
110;M;90-108;FAUX;0;0-25000;100000-150000;High School;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;A
111;M;36-54;FAUX;0;50000-75000;150000-200000;Bachelors;Commercial;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
112;M;54-72;VRAI;1;100000-125000;250000-300000;Bachelors;Commercial;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
113;M;54-72;FAUX;1;0-25000;100000-150000;High School;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
114;F;54-72;FAUX;1;25000-50000;100000-150000;High School;Commercial;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
115;F;54-72;FAUX;0;75000-100000;200000-250000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_premium;A
116;F;36-54;VRAI;2;0-25000;100000-150000;<High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;janv-22;complet;dev_premium;B
117;F;72-90;VRAI;2;25000-50000;150000-200000;Bachelors;Private;Sports Car;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;janv-22;complet;dev_express;A
118;F;54-72;VRAI;3;0-25000;100000-150000;High School;Private;Pickup;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
119;M;0-18;VRAI;2;50000-75000;0-50000;High School;Commercial;Sports Car;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
120;M;0-18;FAUX;0;75000-100000;200000-250000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
121;M;54-72;FAUX;0;0-25000;100000-150000;PhD;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;févr-22;complet;dev_integral;A
122;M;54-72;FAUX;1;75000-100000;300000-350000;Masters;Private;Minivan;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
123;M;54-72;FAUX;0;100000-125000;0-50000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
124;F;36-54;FAUX;0;50000-75000;200000-250000;Bachelors;Private;Pickup;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
125;F;18-36;FAUX;2;25000-50000;100000-150000;Masters;Private;Van;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
126;M;18-36;FAUX;0;75000-100000;0-50000;Bachelors;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
127;M;54-72;FAUX;0;100000-125000;250000-300000;High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
128;M;0-18;FAUX;0;0-25000;50000-100000;High School;Commercial;Minivan;VRAI;6-9 pts;0-5 ans;Highly Rural/ Rural;mars-22;complet;dev_express;A
129;M;18-36;FAUX;0;50000-75000;200000-250000;Bachelors;Commercial;Sports Car;FAUX;0-3 pts;N/C;Highly Urban/ Urban;avr-22;complet;dev_premium;B
130;M;54-72;FAUX;0;125000-150000;300000-350000;PhD;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
131;F;54-72;FAUX;2;0-25000;50000-100000;Bachelors;Private;Sports Car;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
132;F;54-72;FAUX;1;25000-50000;0-50000;High School;Private;Minivan;FAUX;6-9 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_vip;B
133;M;0-18;FAUX;3;0-25000;50000-100000;<High School;Private;SUV;FAUX;0-3 pts;0-5 ans;Highly Rural/ Rural;mars-22;complet;dev_express;A
134;M;54-72;FAUX;0;25000-50000;150000-200000;High School;Private;Minivan;VRAI;3-6 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_express;A
135;F;0-18;VRAI;1;25000-50000;150000-200000;Bachelors;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
136;F;90-108;FAUX;1;75000-100000;0-50000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mai-22;complet;dev_integral;A
137;M;0-18;FAUX;0;25000-50000;200000-250000;Masters;Commercial;Van;VRAI;0-3 pts;15-20 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
138;M;36-54;VRAI;3;125000-150000;350000-400000;Masters;Commercial;Van;FAUX;3-6 pts;5-10 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
139;M;36-54;FAUX;2;25000-50000;100000-150000;High School;Commercial;SUV;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
140;F;36-54;FAUX;4;N/C;50000-100000;High School;Private;Sports Car;FAUX;6-9 pts;5-10 ans;Highly Urban/ Urban;avr-22;complet;dev_premium;B
141;M;36-54;FAUX;0;75000-100000;250000-300000;High School;Commercial;Sports Car;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
142;F;36-54;FAUX;0;100000-125000;300000-350000;Masters;Private;Minivan;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
143;F;0-18;FAUX;2;125000-150000;450000-500000;Bachelors;Private;Pickup;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
144;M;72-90;FAUX;0;25000-50000;0-50000;Bachelors;Private;SUV;FAUX;3-6 pts;15-20 ans;Highly Urban/ Urban;févr-22;complet;dev_premium;B
145;M;72-90;FAUX;2;0-25000;0-50000;High School;Commercial;SUV;FAUX;6-9 pts;N/C;Highly Urban/ Urban;mai-22;complet;dev_express;A
146;M;36-54;FAUX;0;25000-50000;150000-200000;Bachelors;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;mai-22;complet;dev_express;A
147;M;54-72;FAUX;0;75000-100000;200000-250000;Bachelors;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
148;M;36-54;VRAI;3;0-25000;0-50000;High School;Private;SUV;FAUX;0-3 pts;10-15 ans;Highly Rural/ Rural;avr-22;complet;dev_integral;A
149;F;72-90;FAUX;0;75000-100000;250000-300000;Masters;Private;SUV;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;mars-22;complet;dev_integral;A
150;F;72-90;FAUX;0;75000-100000;250000-300000;Masters;Private;Minivan;FAUX;0-3 pts;15-20 ans;Highly Rural/ Rural;févr-22;complet;dev_express;A
151;M;72-90;FAUX;0;25000-50000;200000-250000;High School;Private;Minivan;FAUX;0-3 pts;10-15 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
152;F;54-72;FAUX;0;50000-75000;0-50000;Bachelors;Private;SUV;FAUX;0-3 pts;5-10 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
153;F;54-72;FAUX;2;N/C;350000-400000;PhD;Private;Minivan;VRAI;3-6 pts;0-5 ans;Highly Urban/ Urban;janv-22;complet;dev_express;A
154;M;18-36;FAUX;0;25000-50000;150000-200000;<High School;Private;Minivan;FAUX;0-3 pts;0-5 ans;Highly Urban/ Urban;mars-22;complet;dev_express;A
155;F;72-90;FAUX;2;25000-50000;0-50000;High School;Commercial;Pickup;VRAI;0-3 pts;5-10 ans;Highly Rural/ Rural;févr-22;complet;dev_integral;A
156;M;72-90;VRAI;3;125000-150000;400000-450000;PhD;Commercial;Van;VRAI;0-3 pts;10-15 ans;Highly Urban/ Urban;janv-22;complet;dev_integral;A
157;F;54-72;FAUX;1;0-25000;100000-150000;<High School;Private;Sports Car;FAUX;3-6 pts;0-5 ans;Highly Urban/ Urban;avr-22;complet;dev_express;A
158;M;72-90;FAUX;0;75000-100000;250000-300000;Masters;Private;Pickup;FAUX;0-3 pts;15-20 ans;Highly Urban/ Urban;avr-22;complet;dev_integral;A
159;M;72-90;FAUX;0;100000-125000;300000-350000;Bachelors;Commercial;Minivan;VRAI;0-3 pts;5-10 ans;Highly Rural/ Rural;mai-22;complet;dev_integral;A
160;M;54-72;FAUX;0;75000-100000;250000-300000;High School;Commercial;SUV;FAUX;6-9 pts;0-5 ans;Highly Urban/ Urban;févr-22;complet;dev_integral;A
